City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
227,Mogadishu,SO,82.98,broken clouds,2.0371,45.3438,Hotel Juba
228,Amuntai,ID,71.73,broken clouds,-2.4177,115.2494,Hotel Balqis
248,Ambilobe,MG,73.38,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
252,Vanimo,PG,77.31,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
254,Monrovia,LR,80.6,broken clouds,6.3005,-10.7969,Sunset Inn
259,Boyolangu,ID,72.54,clear sky,-8.1181,111.8935,Yos ega cv
261,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
262,Hambantota,LK,79.99,broken clouds,6.1241,81.1185,Bungalow 63
263,Ojinaga,MX,84.2,clear sky,29.5667,-104.4167,Suites Las Palmas
264,Tabou,CI,81.48,overcast clouds,4.423,-7.3528,hotêl doufoulougou
265,Kavaratti,IN,83.44,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
266,Marzuq,YE,70.3,few clouds,14.4,46.4667,
274,San Patricio,US,84.2,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
277,Mundo Nuevo,MX,84.43,broken clouds,18.7,-95.5,
288,Kagoro,NG,71.74,overcast clouds,9.6,8.3833,Palm Garden Hotel
290,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
291,Nhulunbuy,AU,80.6,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
292,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,Mercure Padang
293,Petaluma,US,71.01,clear sky,38.2324,-122.6367,Sheraton Sonoma Wine Country Petaluma
294,Estelle,US,75.2,broken clouds,29.8458,-90.1067,Ohio
297,Carutapera,BR,78.04,moderate rain,-1.195,-46.02,Lidera
299,Kraksaan,ID,75.52,clear sky,-7.7585,113.3962,Asrama Hati
304,Kalianget,ID,78.82,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
310,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
311,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
315,Cam Ranh,VN,78.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
317,Karratha,AU,75.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
327,Resplendor,BR,75.94,clear sky,-19.3256,-41.2553,Pousada Bixu de Pé
329,Betul,IN,81.05,broken clouds,21.9153,77.8961,STARiHotel Betul MP
332,Kavali,IN,82.02,overcast clouds,14.9167,79.9833,Lic B.M Quearter's
333,Samarai,PG,82.71,overcast clouds,-10.6167,150.6667,Nuli Sapi
338,Latehar,IN,74.21,clear sky,23.75,84.5,Hotel Raj
339,Sakakah,SA,78.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
340,Sao Gabriel Da Cachoeira,BR,82.11,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
348,Santarem,BR,84.2,few clouds,-2.4431,-54.7083,Ecotur Lodge
351,Acari,PE,75.15,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
352,Catuday,PH,77.14,scattered clouds,16.2923,119.8062,GResort
363,Black River,JM,84.2,moderate rain,18.0264,-77.8487,Idlers' Rest Beach Hotel
365,Bela,IN,83.73,broken clouds,25.9333,81.9833,Raj Bhawan
373,Acarau,BR,80.04,few clouds,-2.8856,-40.12,castelo pizzaria
374,Ambagarh Chauki,IN,82.31,broken clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
386,Basco,PH,76.73,few clouds,20.4487,121.9702,Nathaniel's Lodge
388,Iguatemi,BR,76.12,scattered clouds,-23.6803,-54.5611,Hotel Seriema
393,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
406,Honiara,SB,79.79,scattered clouds,-9.4333,159.95,Heritage Park Hotel
407,Nosy Varika,MG,70.25,broken clouds,-20.5833,48.5333,Hotel Volazara
409,Bengkulu,ID,73.83,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
414,Itapirapua,BR,74.95,clear sky,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
415,Pozo Colorado,PY,73.44,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
416,Jurado,CO,83.01,light rain,7.1053,-77.7641,
417,Urucara,BR,77.88,overcast clouds,-2.5364,-57.76,Hotel japa
418,Morros,BR,80.28,broken clouds,-9.4467,-46.3003,
420,Rayagada,IN,78.8,few clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
422,Port Keats,AU,76.21,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
424,Adrar,MR,83.97,clear sky,20.5022,-10.0711,
428,Nabire,ID,75.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
430,Mitsamiouli,KM,80.64,light rain,-11.3847,43.2844,Foyer ADM
433,Bandarbeyla,SO,83.37,overcast clouds,9.4942,50.8122,JABIR HOTEL
434,Toamasina,MG,75.2,light rain,-18.1667,49.3833,Hotel H1
438,Cabo San Lucas,MX,84.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
441,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
443,Tete,MZ,77.0,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
447,Kindia,GN,80.06,broken clouds,10.0569,-12.8658,LES EAUX DE KILISSI
449,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
451,Manadhoo,MV,82.42,few clouds,5.7667,73.3833,Vevu Guesthouse
452,Presidente Epitacio,BR,78.66,clear sky,-21.7633,-52.1156,Hotel Itaverá
454,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
455,Caravelas,BR,75.31,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
458,Palora,EC,73.4,moderate rain,-1.7,-77.9333,Rancho grande
460,Touros,BR,84.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
463,Kudahuvadhoo,MV,82.89,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
